time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-16T03:03:12.726Z,58.2905,-156.9192,207.6,2.1,ml,,,,0.94,ak,ak0223g34085,2022-03-16T03:53:14.040Z,"Alaska Peninsula",earthquake,,1.2,,,automatic,ak,ak
2022-03-16T03:00:01.906Z,-7.6954,106.9023,36.95,5.3,mww,,48,0.776,1.15,us,us6000h4xf,2022-03-16T04:39:40.120Z,"80 km SW of Banjar, Indonesia",earthquake,6.9,6.2,0.093,11,reviewed,us,us
2022-03-16T02:55:29.390Z,38.7874985,-122.7471695,0.46,0.7,md,14,128,0.009205,0.03,nc,nc73706251,2022-03-16T04:53:26.628Z,"1km NE of The Geysers, CA",earthquake,0.25,0.45,0.6,3,automatic,nc,nc
2022-03-16T02:40:53.100Z,-18.1939,-174.5159,98.75,4.9,mb,,67,5.005,0.56,us,us6000h4xc,2022-03-16T03:11:33.040Z,"75 km NW of Neiafu, Tonga",earthquake,7.7,5.5,0.071,62,reviewed,us,us
2022-03-16T02:22:28.880Z,18.0321666666667,-66.8446666666667,17.06,2.37,md,3,306,,0.18,pr,pr71340378,2022-03-16T02:35:17.780Z,"0 km ESE of Yauco, Puerto Rico",earthquake,6.67,3.3,0.113876416086835,3,reviewed,pr,pr
2022-03-16T02:20:15.796Z,34.9028,25.2858,6.85,4.6,mb,,45,0.503,0.85,us,us6000h4x9,2022-03-16T02:39:41.040Z,"16 km SE of Pýrgos, Greece",earthquake,5.6,4.5,0.051,117,reviewed,us,us
2022-03-16T02:07:51.623Z,36.9276,-117.5352,4.4,1.3,ml,12,223.25,0.151,0.2447,nn,nn00835395,2022-03-16T02:37:28.713Z,"57 km NNE of Keeler, California",earthquake,,1.4,0.99,4,automatic,nn,nn
2022-03-16T02:06:24.804Z,37.4375,142.9845,28.84,4.1,mb,,210,3.665,0.38,us,us6000h4x7,2022-03-16T02:24:24.040Z,"175 km E of Namie, Japan",earthquake,11.9,11.5,0.233,5,reviewed,us,us
2022-03-16T02:00:49.720Z,32.5143333,-116.205,11.89,2.1,ml,30,87,0.1539,0.19,ci,ci39968911,2022-03-16T02:11:59.990Z,"27km ESE of Campo, CA",earthquake,0.37,1.14,0.164,26,automatic,ci,ci
2022-03-16T01:42:16.728Z,-6.5981,129.8354,151.36,4.3,mb,,91,1.999,0.9,us,us6000h4x4,2022-03-16T02:02:46.040Z,"Banda Sea",earthquake,8.8,8.7,0.126,18,reviewed,us,us
2022-03-16T01:39:31.177Z,62.9308,-149.7661,84.5,2.3,ml,,,,0.56,ak,ak0223g24vh2,2022-03-16T01:53:47.040Z,"56 km NNE of Chase, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-03-16T01:37:37.398Z,61.6065,-146.4145,30.3,1.5,ml,,,,1.05,ak,ak0223g24h0r,2022-03-16T01:50:57.275Z,"46 km SSE of Nelchina, Alaska",earthquake,,0.2,,,automatic,ak,ak
